cancion
Nothing Else Matters
Heart-Shaped Box
The Middle
Jane Says
No One Knows
Chop Suey!
Savior
Everlong
Seven Nation Army
Killing In The Name
Kryptonite
Last Resort
Take A Look Around
Numb
The Kill (Bury Me)
Song 2
Howlin’ For You
Black Hole Sun
Self Esteem
It's Been Awhile
Under The Bridge
Sex on Fire
Fake It
Pardon Me
Hail to the King
I Hate Everything About You
Through Glass
Sweet Child O' Mine
All The Small Things
Sugar
Bring Me To Life
The Red
Show Me How to Live
Santeria
Uprising
Youth Of The Nation
Sweet Dreams (Are Made Of This)
American Idiot
Cherub Rock
Interstate Love Song
Falling Away from Me
Buddy Holly
Epic
Even Flow
Would?
Change (In the House of Flies)
Take A Picture
Tomorrow - Remastered
Celebrity Skin
The Mack
Black Beatles
All We Know
The Greatest
My Way
That's What I Like
Call On Me - Ryan Riback Remix
September Song
Side To Side
Sun Models (feat. Madelyn Grant)
Trust Nobody
Closer
24K Magic
In the Name of Love
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)
Thinking About It (Let It Go) - KVR Remix
Final Song
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix
Controlla
All of Me (feat. Logic
Ain't My Fault
Starving
Let Me Love You
Let Me Hold You (Turn Me On)
Feel So Close - Radio Edit
Waiting For You (feat. Madison Love)
Cool Girl
Rewind (feat. Sophie Strauss)
Cold Water
Perfect Strangers
Say It (feat. Tove Lo)
Setting Fires
Sexual
Capsize
Bikini Body
Don't Let Me Down
Whole Heart
Invitation (feat. Yade Lauren)
Out Of My System
Work - R3hab Remix
Caroline
Takes My Body Higher (feat. Lincoln Jesser)
Weak
Paper Planes
Weekend
Aloha
Alarm
Sing to You
Me soltaste 
Love on the Weekend 
Too Good To Say Goodbye 
Ya Me Enteré 
Million Reasons 
Quiero Que Vuelvas 
Moonlight 
Si tú no vuelves - MTV Unplugged 
Water Under the Bridge 
Que Lo Nuestro Se Quede Nuestro 
Aquí 
Siempre Estaré Ahí 
Love Yourself 
Say Something 
Gris 
Abrazame 
Ruin 
Como Yo Te Amé 
Hope 
To Find You 
Una y otra vez 
Nada Es Como Tú - Acústico 
I Was Made For Loving You 
Para Olvidarte 
This Town 
Si No Es Muy Tarde - En Vivo 
All of Me 
Aunque Ahora Estés Con El 
Hopeless Romantic 
Fueron Tus Besos 
Simplemente Tú 
Halo 
A Thousand Years 
Como Te Extraño 
Después del Adiós 
Stars 
Uno X Uno 
Lay Me Down 
Más De La Mitad 
Thinking Out Loud 
Las Cosas Que Se Quedan 
Un Pedazo de Mí 
Vida de Mis Vidas 
Parece Que Fue Ayer 
In Love Again 
Say It Again 
If I Ain't Got You 
A Que No Me Dejas 
You're Beautiful 
En Ésta No 
Por Última Vez (feat. Franco De Vita) 
Elastic Heart - Live from The Village 
Say a Little Prayer - Live 
Closer - Acoustic 
Polymorphing 
Miss You 
B.O.M.O. 
Beso 
Somebody Else 
Chica Bonita 
Thinking Out Loud 
Alguna Vez 
Start A Riot 
Ruin 
Hometown Girl 
Parece Que Fue Ayer 
Magic 
Ley De Newton 
And the Sea 
Amor sincero 
Nunca Es Tarde 
Ooh Love 
I'm Not The Only One 
Little Talks 
Pa'lante 
Bright 
Everybody's Changing 
All We Ever Knew 
She Will Be Loved 
I Was Wrong - Robin Schulz Remix 
Want to Want Me [Acoustic Cover] 
Alaska 
Broken 
Let It Go 
Thinkin Bout You 
September Song - Guitar Acoustic 
Get Low 
Una y otra vez 
SOS (Overboard) 
Historia Entre Tus Dedos 
Climax 
Photograph 
Scar 
Hero 
I Choose You 
Each Coming Night 
You Found Me 
Wasn't Expecting That 
Old Pine 
Over You 
Heartbeats 
Budapest 
Side To Side 
Titanium (feat. Sia) 
Closer 
Starboy 
Dynamite 
Let Me Love You 
All About That Bass 
Cold Water 
Love Myself 
The Greatest 
No Scrubs 
Call On Me - Ryan Riback Remix 
Cheap Thrills 
Party In The U.S.A. 
This Is What You Came For 
Work from Home 
September Song 
Starships 
Disturbia 
Gold 
Shout Out to My Ex 
Send My Love (To Your New Lover) 
Say It (feat. Tove Lo) 
We Can't Stop 
Hold On
Starving 
Ain't My Fault 
Into You 
Alarm 
Final Song 
Hymn For The Weekend - Seeb Remix 
Don't Let Me Down 
Lose Control (feat. Ciara & Fat Man Scoop) 
Time of Our Lives 
Needed Me 
Stronger 
Lean On 
Halo 
Kill Em With Kindness 
Lush Life 
One Dance 
Sit Still
Wild Things 
Paper Planes 
Sugar (feat. Francesco Yates) 
Elastic Heart 
Talking Body 
Royals 
We Found Love 
Mad World 
